Year,Donor Types,Age Groups,All States,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin
2023,Living Donor,50-64 Years,"2,078",16,61,3,221,36,32,2,22,104,62,1,82,12,24,14,22,29,7,38,86,55,106,3,33,10,1,4,64,8,171,42,8,70,15,12,142,4,8,20,3,24,240,37,3,42,27,4,48
2023,Living Donor,65 +,417,1,19,0,51,6,6,0,9,30,10,0,20,3,1,1,1,4,4,4,16,9,23,1,12,1,0,1,14,2,39,10,2,13,0,7,24,0,2,2,0,2,45,5,0,6,3,1,7
2022,All Donor Types,All Donor Ages,"42,889",454,"1,285",224,"4,866",778,386,40,550,"3,064","1,223",81,"2,020",581,247,284,353,603,45,738,"1,128",995,"1,078",187,988,316,141,23,822,92,"3,396","1,404",47,"2,127",363,411,"2,079",102,57,626,63,"1,209","3,998",639,10,"1,191",784,100,691
2022,All Donor Types,< 1 Year,197,3,3,0,22,3,0,0,7,10,7,0,9,0,0,1,1,0,0,4,2,4,6,2,7,2,1,0,7,0,7,5,0,6,0,2,7,0,0,2,0,11,31,12,0,6,6,0,1
2022,All Donor Types,1-5 Years,524,7,10,0,72,8,3,6,9,22,10,0,24,9,3,0,2,4,0,7,9,14,17,3,33,14,7,0,7,0,41,11,0,22,0,0,22,1,1,3,0,9,78,14,0,14,5,0,3
2022,All Donor Types,6-10 Years,353,7,9,1,44,3,0,0,11,20,12,0,23,5,1,2,2,1,0,7,3,13,9,3,15,4,2,0,5,0,28,11,0,13,3,4,17,0,0,10,3,11,25,6,0,6,6,0,8
2022,All Donor Types,11-17 Years,"1,810",13,30,10,194,51,9,5,32,100,50,0,102,30,14,21,16,18,0,26,32,36,31,4,65,16,2,0,23,1,141,66,2,82,18,16,107,3,0,33,0,47,219,44,0,43,34,0,24
2022,All Donor Types,18-34 Years,"14,548",157,439,71,"1,756",329,119,4,168,924,467,23,651,232,79,100,145,224,11,249,345,292,320,58,287,101,47,8,191,43,"1,068",514,12,639,148,157,673,44,12,230,32,450,"1,566",226,3,405,290,21,218
2022,All Donor Types,35-49 Years,"14,391",151,407,79,"1,581",219,130,10,169,"1,035",412,31,681,217,75,90,121,202,15,266,341,335,379,43,323,89,57,6,271,27,"1,193",494,21,736,115,140,722,24,11,222,19,427,"1,288",196,3,426,285,50,257
2022,All Donor Types,50-64 Years,"9,468",108,329,59,"1,005",145,110,15,125,781,231,25,466,80,64,55,62,137,15,156,340,261,249,60,208,75,25,8,261,20,773,274,9,547,62,89,463,24,29,112,9,220,685,116,4,258,139,25,155
2022,All Donor Types,65 +,"1,595",8,58,4,192,20,15,0,29,172,34,2,64,8,11,15,4,17,4,23,56,40,67,14,49,15,0,1,57,1,144,29,3,82,17,3,68,6,4,14,0,34,105,25,0,33,19,4,25
2022,All Donor Types,Unknown,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022,Deceased Donor,All Donor Ages,"36,421",400,"1,133",217,"4,167",607,298,33,438,"2,778","1,065",80,"1,727",519,200,263,297,514,23,616,939,851,808,171,876,269,134,11,612,77,"2,836","1,243",31,"1,865",331,370,"1,655",97,31,564,40,"1,070","3,270",523,7,"1,026",645,100,594
2022,Deceased Donor,< 1 Year,197,3,3,0,22,3,0,0,7,10,7,0,9,0,0,1,1,0,0,4,2,4,6,2,7,2,1,0,7,0,7,5,0,6,0,2,7,0,0,2,0,11,31,12,0,6,6,0,1
2022,Deceased Donor,1-5 Years,524,7,10,0,72,8,3,6,9,22,10,0,24,9,3,0,2,4,0,7,9,14,17,3,33,14,7,0,7,0,41,11,0,22,0,0,22,1,1,3,0,9,78,14,0,14,5,0,3
2022,Deceased Donor,6-10 Years,353,7,9,1,44,3,0,0,11,20,12,0,23,5,1,2,2,1,0,7,3,13,9,3,15,4,2,0,5,0,28,11,0,13,3,4,17,0,0,10,3,11,25,6,0,6,6,0,8
2022,Deceased Donor,11-17 Years,"1,807",13,30,10,194,51,9,5,32,100,50,0,102,30,14,21,16,18,0,26,32,36,31,4,65,16,2,0,23,1,141,66,2,82,18,16,105,3,0,33,0,47,219,44,0,42,34,0,24
2022,Deceased Donor,18-34 Years,"12,831",142,402,67,"1,570",272,97,2,138,851,419,23,549,221,64,96,128,204,6,213,304,256,265,54,259,92,44,3,150,40,911,482,10,572,144,151,555,42,9,214,22,415,"1,351",201,1,356,248,21,195
2022,Deceased Donor,35-49 Years,"11,868",128,345,76,"1,326",161,96,8,122,920,355,31,579,184,52,77,101,161,7,216,280,271,276,39,282,67,54,3,188,22,973,434,12,638,93,128,559,22,6,196,11,365,991,145,3,360,236,50,219
2022,Deceased Donor,50-64 Years,"7,610",93,282,59,792,100,85,12,97,705,186,24,389,63,55,51,45,111,9,127,266,227,159,53,173,62,24,5,200,14,621,214,6,463,57,68,340,23,14,95,4,183,508,79,3,213,99,25,127
2022,Deceased Donor,65 +,"1,231",7,52,4,147,9,8,0,22,150,26,2,52,7,11,15,2,15,1,16,43,30,45,13,42,12,0,0,32,0,114,20,1,69,16,1,50,6,1,11,0,29,67,22,0,29,11,4,17
2022,Living Donor,All Donor Ages,"6,468",54,152,7,699,171,88,7,112,286,158,1,293,62,47,21,56,89,22,122,189,144,270,16,112,47,7,12,210,15,560,161,16,262,32,41,424,5,26,62,23,139,728,116,3,165,139,0,97
2022,Living Donor,11-17 Years,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
2022,Living Donor,18-34 Years,"1,717",15,37,4,186,57,22,2,30,73,48,0,102,11,15,4,17,20,5,36,41,36,55,4,28,9,3,5,41,3,157,32,2,67,4,6,118,2,3,16,10,35,215,25,2,49,42,0,23
2022,Living Donor,35-49 Years,"2,523",23,62,3,255,58,34,2,47,115,57,0,102,33,23,13,20,41,8,50,61,64,103,4,41,22,3,3,83,5,220,60,9,98,22,12,163,2,5,26,8,62,297,51,0,66,49,0,38
2022,Living Donor,50-64 Years,"1,858",15,47,0,213,45,25,3,28,76,45,1,77,17,9,4,17,26,6,29,74,34,90,7,35,13,1,3,61,6,152,60,3,84,5,21,123,1,15,17,5,37,177,37,1,45,40,0,28
2022,Living Donor,65 +,364,1,6,0,45,11,7,0,7,22,8,0,12,1,0,0,2,2,3,7,13,10,22,1,7,3,0,1,25,1,30,9,2,13,1,2,18,0,3,3,0,5,38,3,0,4,8,0,8
2022,Living Donor,Unknown,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2021,All Donor Types,All Donor Ages,"41,356",467,"1,214",250,"4,693",605,367,44,565,"2,795","1,243",64,"1,964",646,280,288,333,608,51,772,980,932,986,203,963,333,138,25,693,95,"3,167","1,352",45,"2,146",327,392,"1,992",116,51,584,65,"1,202","3,987",602,5,"1,129",793,115,689
2021,All Donor Types,< 1 Year,212,1,3,1,28,5,0,1,9,8,5,0,18,3,0,1,1,0,0,0,2,5,4,2,7,5,0,0,0,0,14,11,0,7,0,0,7,0,0,2,0,3,29,13,0,6,8,0,3
2021,All Donor Types,1-5 Years,572,4,8,4,67,4,0,2,15,33,19,0,22,12,0,1,5,2,0,3,12,13,7,6,24,12,0,0,11,0,41,18,0,32,0,3,45,6,2,2,0,14,79,12,0,10,17,0,5
2021,All Donor Types,6-10 Years,338,5,7,3,36,5,2,2,11,32,6,0,25,2,2,1,0,3,0,2,3,3,3,2,13,4,1,0,1,0,22,17,0,14,2,4,25,1,0,5,0,5,43,9,0,3,8,2,4
2021,All Donor Types,11-17 Years,"1,827",20,55,13,230,32,12,4,27,102,51,5,81,31,16,13,16,40,0,30,32,22,35,13,47,29,6,0,13,4,104,55,3,79,23,15,88,4,1,24,2,76,225,33,0,35,51,1,29
2021,All Donor Types,18-34 Years,"14,215",163,405,87,"1,722",229,115,16,171,955,478,20,708,237,69,98,114,203,14,265,281,292,311,58,295,109,39,6,181,38,"1,049",553,13,715,118,111,639,42,12,228,28,432,"1,388",220,2,387,323,27,249
2021,All Donor Types,35-49 Years,"13,522",164,383,83,"1,374",190,99,14,164,939,440,24,584,255,84,84,135,222,10,245,310,315,349,77,301,100,55,9,196,25,"1,065",402,19,764,107,142,672,33,11,194,25,417,"1,356",180,2,413,221,50,219
2021,All Donor Types,50-64 Years,"9,239",101,296,56,"1,073",129,125,4,135,623,213,14,439,92,89,69,59,128,25,206,279,243,235,42,223,56,35,10,250,26,737,269,8,455,71,110,453,26,23,123,6,223,777,112,1,243,147,31,149
2021,All Donor Types,65 +,"1,431",9,57,3,163,11,14,1,33,103,31,1,87,14,20,21,3,10,2,21,61,39,42,3,53,18,2,0,41,2,135,27,2,80,6,7,63,4,2,6,4,32,90,23,0,32,18,4,31
2021,Deceased Donor,All Donor Ages,"34,814",410,"1,074",249,"4,018",459,288,33,426,"2,564","1,063",59,"1,619",572,224,255,280,519,27,678,771,791,717,192,857,298,132,9,473,84,"2,568","1,188",35,"1,867",296,321,"1,590",111,35,532,32,"1,080","3,243",488,5,928,677,112,565
2021,Deceased Donor,< 1 Year,212,1,3,1,28,5,0,1,9,8,5,0,18,3,0,1,1,0,0,0,2,5,4,2,7,5,0,0,0,0,14,11,0,7,0,0,7,0,0,2,0,3,29,13,0,6,8,0,3
2021,Deceased Donor,1-5 Years,572,4,8,4,67,4,0,2,15,33,19,0,22,12,0,1,5,2,0,3,12,13,7,6,24,12,0,0,11,0,41,18,0,32,0,3,45,6,2,2,0,14,79,12,0,10,17,0,5
2021,Deceased Donor,6-10 Years,338,5,7,3,36,5,2,2,11,32,6,0,25,2,2,1,0,3,0,2,3,3,3,2,13,4,1,0,1,0,22,17,0,14,2,4,25,1,0,5,0,5,43,9,0,3,8,2,4
2021,Deceased Donor,11-17 Years,"1,826",20,55,13,230,32,12,4,27,102,51,5,81,31,16,13,16,40,0,30,32,22,35,13,47,29,6,0,13,4,104,55,3,79,23,15,88,4,1,24,2,76,225,33,0,34,51,1,29
2021,Deceased Donor,18-34 Years,"12,325",143,360,87,"1,531",170,101,13,125,881,439,18,594,216,55,89,101,183,7,229,231,263,253,55,266,98,36,3,134,33,867,509,13,642,108,101,516,42,10,214,16,396,"1,137",186,2,327,291,26,208
2021,Deceased Donor,35-49 Years,"10,927",138,338,82,"1,121",143,72,6,115,844,353,23,445,223,61,72,111,185,4,217,236,248,241,70,252,84,53,3,114,21,834,339,15,642,100,110,511,30,4,177,10,366,"1,048",126,2,332,177,48,181
2021,Deceased Donor,50-64 Years,"7,486",91,258,56,872,93,94,4,97,569,168,12,365,76,71,57,45,99,16,179,210,207,150,41,197,50,34,3,173,24,579,222,4,383,58,84,354,24,17,103,4,190,618,87,1,192,115,31,109
2021,Deceased Donor,65 +,"1,128",8,45,3,133,7,7,1,27,95,22,1,69,9,19,21,1,7,0,18,45,30,24,3,51,16,2,0,27,2,107,17,0,68,5,4,44,4,1,5,0,30,64,22,0,24,10,4,26
2021,Living Donor,All Donor Ages,"6,542",57,140,1,675,146,79,11,139,231,180,5,345,74,56,33,53,89,24,94,209,141,269,11,106,35,6,16,220,11,599,164,10,279,31,71,402,5,16,52,33,122,744,114,0,201,116,3,124
2021,Living Donor,11-17 Years,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2021,Living Donor,18-34 Years,"1,890",20,45,0,191,59,14,3,46,74,39,2,114,21,14,9,13,20,7,36,50,29,58,3,29,11,3,3,47,5,182,44,0,73,10,10,123,0,2,14,12,36,251,34,0,60,32,1,41
2021,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Living Donor,35-49 Years,"2,595",26,45,1,253,47,27,8,49,95,87,1,139,32,23,12,24,37,6,28,74,67,108,7,49,16,2,6,82,4,231,63,4,122,7,32,161,3,7,17,15,51,308,54,0,81,44,2,38
2021,Living Donor,50-64 Years,"1,753",10,38,0,201,36,31,0,38,54,45,2,74,16,18,12,14,29,9,27,69,36,85,1,26,6,1,7,77,2,158,47,4,72,13,26,99,2,6,20,2,33,159,25,0,51,32,0,40
2021,Living Donor,65 +,303,1,12,0,30,4,7,0,6,8,9,0,18,5,1,0,2,3,2,3,16,9,18,0,2,2,0,0,14,0,28,10,2,12,1,3,19,0,1,1,4,2,26,1,0,8,8,0,5
2020,All Donor Types,All Donor Ages,"39,036",502,"1,183",198,"4,531",564,363,31,619,"2,875","1,049",60,"1,493",638,321,299,345,600,45,693,916,936,825,172,972,339,91,22,590,87,"2,489","1,351",25,"2,055",329,429,"2,201",103,50,490,61,"1,164","3,664",514,7,"1,077",730,118,820
2020,All Donor Types,< 1 Year,226,1,2,3,30,1,0,0,5,15,4,0,10,0,1,0,1,1,0,1,0,8,2,1,13,8,0,0,5,0,13,10,0,10,0,0,12,0,0,0,0,9,37,11,0,7,0,0,5
2020,All Donor Types,1-5 Years,506,2,18,1,67,6,1,1,20,36,14,0,17,5,8,1,2,3,0,1,4,13,17,3,20,19,1,0,7,0,34,11,0,24,0,2,33,1,0,3,0,16,71,9,0,7,4,0,4
2020,All Donor Types,6-10 Years,361,7,10,1,29,1,1,0,8,15,12,0,23,16,2,0,5,4,0,7,4,10,9,9,12,4,2,1,0,0,20,13,0,16,4,5,17,0,0,5,1,15,50,3,0,7,5,2,6
2020,All Donor Types,11-17 Years,"1,663",28,57,10,173,32,9,2,18,166,55,0,88,27,12,13,4,35,1,25,27,25,45,10,55,19,5,1,10,7,72,49,1,67,14,13,44,5,2,23,3,56,190,46,0,41,42,2,34
2020,All Donor Types,18-34 Years,"14,147",194,421,73,"1,789",214,118,14,192,939,404,21,501,270,102,116,178,230,6,279,300,340,251,54,327,106,22,6,167,28,861,541,5,686,120,158,794,28,18,190,28,493,"1,318",199,2,425,288,42,289
2020,All Donor Types,35-49 Years,"12,079",158,342,55,"1,249",195,124,8,192,878,305,26,448,203,94,83,85,213,12,205,301,279,243,45,280,92,25,4,170,39,782,442,8,750,108,142,737,33,15,159,16,363,"1,140",159,2,337,247,36,250
2020,All Donor Types,50-64 Years,"8,716",95,289,50,"1,040",105,96,5,153,718,226,12,360,110,83,71,66,100,23,150,241,236,220,41,211,72,34,9,198,12,588,254,10,437,74,96,487,32,15,102,12,182,760,71,3,216,129,28,194
2020,All Donor Types,65 +,"1,335",17,44,5,154,10,14,1,30,108,29,1,46,7,19,15,4,14,3,25,39,25,38,9,53,19,2,1,33,1,119,31,1,65,9,13,77,4,0,8,1,30,97,16,0,37,15,8,38
2020,All Donor Types,Unknown,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2020,Deceased Donor,All Donor Ages,"33,310",444,"1,064",196,"3,903",446,299,26,478,"2,648",886,56,"1,250",575,291,271,306,538,14,602,754,776,599,161,873,317,87,12,442,76,"1,998","1,211",14,"1,783",300,382,"1,791",97,33,448,49,"1,055","2,989",416,7,908,647,115,677
2020,Deceased Donor,< 1 Year,226,1,2,3,30,1,0,0,5,15,4,0,10,0,1,0,1,1,0,1,0,8,2,1,13,8,0,0,5,0,13,10,0,10,0,0,12,0,0,0,0,9,37,11,0,7,0,0,5
2020,Deceased Donor,1-5 Years,506,2,18,1,67,6,1,1,20,36,14,0,17,5,8,1,2,3,0,1,4,13,17,3,20,19,1,0,7,0,34,11,0,24,0,2,33,1,0,3,0,16,71,9,0,7,4,0,4
2020,Deceased Donor,6-10 Years,361,7,10,1,29,1,1,0,8,15,12,0,23,16,2,0,5,4,0,7,4,10,9,9,12,4,2,1,0,0,20,13,0,16,4,5,17,0,0,5,1,15,50,3,0,7,5,2,6
2020,Deceased Donor,11-17 Years,"1,663",28,57,10,173,32,9,2,18,166,55,0,88,27,12,13,4,35,1,25,27,25,45,10,55,19,5,1,10,7,72,49,1,67,14,13,44,5,2,23,3,56,190,46,0,41,42,2,34
2020,Deceased Donor,18-34 Years,"12,548",175,392,71,"1,610",180,103,12,154,877,360,21,425,251,96,109,161,210,1,259,265,298,213,51,301,100,19,4,131,22,717,503,4,615,112,147,668,25,15,179,23,461,"1,094",166,2,373,273,41,259
2020,Deceased Donor,35-49 Years,"9,946",142,295,55,"1,022",145,105,6,140,802,243,23,350,174,84,70,77,185,7,173,253,215,157,42,250,83,24,2,125,37,598,393,3,633,97,124,570,32,9,143,15,315,879,120,2,281,214,35,197
2020,Deceased Donor,50-64 Years,"7,027",77,253,50,861,74,71,4,108,641,181,12,298,98,71,64,53,86,5,118,172,189,139,38,182,65,34,4,142,9,449,205,6,365,64,82,389,30,7,89,7,157,592,47,3,164,99,27,146
2020,Deceased Donor,65 +,"1,033",12,37,5,111,7,9,1,25,96,17,0,39,4,17,14,3,14,0,18,29,18,17,7,40,19,2,0,22,1,95,27,0,53,9,9,58,4,0,6,0,26,76,14,0,28,10,8,26
2020,Living Donor,All Donor Ages,"5,726",58,119,2,628,118,64,5,141,227,163,4,243,63,30,28,39,62,31,91,162,160,226,11,99,22,4,10,148,11,491,140,11,272,29,47,410,6,17,42,12,109,675,98,0,169,83,3,143
2020,Living Donor,18-34 Years,"1,599",19,29,2,179,34,15,2,38,62,44,0,76,19,6,7,17,20,5,20,35,42,38,3,26,6,3,2,36,6,144,38,1,71,8,11,126,3,3,11,5,32,224,33,0,52,15,1,30
2020,Living Donor,35-49 Years,"2,133",16,47,0,227,50,19,2,52,76,62,3,98,29,10,13,8,28,5,32,48,64,86,3,30,9,1,2,45,2,184,49,5,117,11,18,167,1,6,16,1,48,261,39,0,56,33,1,53
2020,Living Donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Living Donor,50-64 Years,"1,689",18,36,0,179,31,25,1,45,77,45,0,62,12,12,7,13,14,18,32,69,47,81,3,29,7,0,5,56,3,139,49,4,72,10,14,98,2,8,13,5,25,168,24,0,52,30,1,48
2020,Living Donor,65 +,302,5,7,0,43,3,5,0,5,12,12,1,7,3,2,1,1,0,3,7,10,7,21,2,13,0,0,1,11,0,24,4,1,12,0,4,19,0,0,2,1,4,21,2,0,9,5,0,12
2020,Living Donor,Unknown,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2019,All Donor Types,All Donor Ages,"39,719",480,"1,299",233,"4,412",643,366,40,599,"2,748","1,077",56,"1,565",616,292,273,328,703,41,771,"1,033","1,033",905,200,"1,044",331,43,26,695,87,"2,681","1,392",41,"1,916",328,381,"2,395",125,60,440,71,"1,040","3,666",448,20,"1,146",801,88,741
2019,All Donor Types,< 1 Year,265,5,5,2,40,2,0,0,21,10,7,0,26,4,3,1,1,0,0,2,3,4,4,1,11,6,0,0,3,0,21,5,0,5,0,0,9,0,0,1,0,8,36,7,0,5,4,0,3
2019,All Donor Types,1-5 Years,541,12,14,1,56,2,1,3,22,31,19,0,27,6,5,3,3,4,0,4,5,13,7,6,16,10,0,0,8,0,39,19,0,23,2,9,30,1,0,5,0,14,83,12,0,9,11,0,6
2019,All Donor Types,6-10 Years,428,8,14,9,66,2,0,0,12,24,13,2,30,6,1,1,1,9,0,4,8,10,20,0,10,5,0,0,3,2,30,16,1,6,2,2,19,1,0,3,0,17,45,6,0,10,6,0,4
2019,All Donor Types,11-17 Years,"1,744",31,38,10,155,53,7,3,22,104,41,10,64,37,14,19,22,44,1,15,24,51,51,18,60,26,5,0,33,1,89,61,1,84,33,12,95,6,1,21,4,67,170,21,1,44,42,0,33
2019,All Donor Types,18-34 Years,"13,716",185,436,80,"1,451",241,118,15,179,975,398,14,513,254,92,104,97,241,9,291,346,328,275,67,373,95,27,12,199,39,930,518,10,690,109,127,887,45,17,186,17,426,"1,239",169,5,337,311,19,220
2019,All Donor Types,35-49 Years,"12,439",122,395,76,"1,363",198,125,13,166,783,341,15,467,198,81,85,128,236,15,255,357,328,266,56,268,94,8,9,222,32,830,434,17,626,116,136,801,38,19,142,26,326,"1,164",143,11,414,256,23,215
2019,All Donor Types,50-64 Years,"9,143",98,347,51,"1,085",133,104,5,148,691,224,15,365,100,85,57,72,149,14,170,246,260,226,47,265,76,2,5,200,11,624,290,11,426,63,89,478,33,20,71,22,162,834,81,3,278,161,35,211
2019,All Donor Types,65 +,"1,442",19,50,4,195,12,11,1,29,130,34,0,73,11,11,3,4,20,2,30,44,39,56,5,41,19,1,0,27,2,118,49,1,56,3,6,76,1,3,11,2,20,95,9,0,49,10,11,49
2019,All Donor Types,Unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Deceased Donor,All Donor Ages,"32,322",401,"1,156",226,"3,668",466,274,29,437,"2,404",822,51,"1,246",533,252,236,285,601,20,624,840,832,604,191,926,288,40,13,482,72,"1,966","1,228",26,"1,564",275,311,"1,920",116,32,389,43,898,"2,900",316,17,973,680,80,569
2019,Deceased Donor,< 1 Year,265,5,5,2,40,2,0,0,21,10,7,0,26,4,3,1,1,0,0,2,3,4,4,1,11,6,0,0,3,0,21,5,0,5,0,0,9,0,0,1,0,8,36,7,0,5,4,0,3
2019,Deceased Donor,1-5 Years,541,12,14,1,56,2,1,3,22,31,19,0,27,6,5,3,3,4,0,4,5,13,7,6,16,10,0,0,8,0,39,19,0,23,2,9,30,1,0,5,0,14,83,12,0,9,11,0,6
2019,Deceased Donor,6-10 Years,428,8,14,9,66,2,0,0,12,24,13,2,30,6,1,1,1,9,0,4,8,10,20,0,10,5,0,0,3,2,30,16,1,6,2,2,19,1,0,3,0,17,45,6,0,10,6,0,4
2019,Deceased Donor,11-17 Years,"1,743",31,38,10,155,53,7,3,22,104,40,10,64,37,14,19,22,44,1,15,24,51,51,18,60,26,5,0,33,1,89,61,1,84,33,12,95,6,1,21,4,67,170,21,1,44,42,0,33
2019,Deceased Donor,18-34 Years,"11,692",164,389,76,"1,256",176,92,11,133,882,329,13,401,228,88,90,87,215,6,256,309,265,226,65,333,85,27,8,144,35,728,474,8,596,97,105,755,43,11,179,13,387,994,123,4,300,286,18,182
2019,Deceased Donor,35-49 Years,"9,546",90,337,74,"1,083",136,93,9,107,663,237,13,361,163,60,72,112,192,6,203,286,269,145,53,229,75,7,2,145,29,554,374,10,479,94,106,593,32,7,116,15,264,847,85,10,339,204,19,147
2019,Deceased Donor,50-64 Years,"7,020",77,312,50,862,85,72,3,104,579,156,13,279,81,72,47,58,123,6,121,173,196,118,44,233,65,1,3,134,5,420,238,6,323,46,75,358,32,11,55,9,126,656,54,2,223,120,32,162
2019,Deceased Donor,65 +,"1,087",14,47,4,150,10,9,0,16,111,21,0,58,8,9,3,1,14,1,19,32,24,33,4,34,16,0,0,12,0,85,41,0,48,1,2,61,1,2,9,2,15,69,8,0,43,7,11,32
2019,Living Donor,All Donor Ages,"7,397",79,143,7,744,177,92,11,162,344,255,5,319,83,40,37,43,102,21,147,193,201,301,9,118,43,3,13,213,15,715,164,15,352,53,70,475,9,28,51,28,142,766,132,3,173,121,8,172
2019,Living Donor,11-17 Years,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Living Donor,18-34 Years,"2,024",21,47,4,195,65,26,4,46,93,69,1,112,26,4,14,10,26,3,35,37,63,49,2,40,10,0,4,55,4,202,44,2,94,12,22,132,2,6,7,4,39,245,46,1,37,25,1,38
2019,Living Donor,35-49 Years,"2,893",32,58,2,280,62,32,4,59,120,104,2,106,35,21,13,16,44,9,52,71,59,121,3,39,19,1,7,77,3,276,60,7,147,22,30,208,6,12,26,11,62,317,58,1,75,52,4,68
2019,Living Donor,50-64 Years,"2,123",21,35,1,223,48,32,2,44,112,68,2,86,19,13,10,14,26,8,49,73,64,108,3,32,11,1,2,66,6,204,52,5,103,17,14,120,1,9,16,13,36,178,27,1,55,41,3,49
2019,Living Donor,65 +,355,5,3,0,45,2,2,1,13,19,13,0,15,3,2,0,3,6,1,11,12,15,23,1,7,3,1,0,15,2,33,8,1,8,2,4,15,0,1,2,0,5,26,1,0,6,3,0,17
2019,Living Donor,Unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,All Donor Types,All Donor Ages,"36,530",467,"1,184",172,"4,165",617,370,39,525,"2,471",983,66,"1,424",591,283,238,381,586,42,830,"1,015","1,039",813,187,891,301,47,20,560,72,"2,624","1,145",41,"1,641",316,338,"2,241",122,63,368,62,"1,026","3,231",441,11,916,781,66,718
2018,All Donor Types,< 1 Year,223,3,2,0,36,3,0,1,13,23,12,0,3,0,2,0,2,0,0,4,2,3,4,2,4,12,0,0,0,0,12,5,0,6,0,1,6,0,0,1,0,3,26,11,0,5,13,0,3
2018,All Donor Types,1-5 Years,623,6,24,3,94,9,1,1,18,38,22,0,27,20,7,1,6,2,0,5,7,16,7,6,24,17,0,0,3,0,33,28,0,18,2,4,33,1,1,3,0,12,75,13,0,15,12,0,9
2018,All Donor Types,6-10 Years,344,8,10,1,31,6,1,0,13,31,14,4,6,5,0,2,8,4,0,7,4,9,10,1,14,1,0,0,7,0,35,4,0,10,4,1,29,0,0,6,1,6,35,3,0,4,4,0,5
2018,All Donor Types,11-17 Years,"1,767",24,48,22,169,44,9,1,27,120,57,0,74,33,12,24,21,25,0,24,31,62,38,13,52,13,4,1,11,6,87,57,0,95,18,17,82,10,1,14,1,66,192,26,0,44,67,0,25
2018,All Donor Types,18-34 Years,"13,113",194,405,76,"1,410",268,101,16,184,881,348,19,501,253,92,89,162,239,11,353,323,371,268,72,341,98,21,6,169,23,811,445,12,585,130,123,799,54,20,144,27,438,"1,173",174,3,338,277,14,252
2018,All Donor Types,35-49 Years,"11,135",136,335,44,"1,246",177,123,13,129,686,301,29,406,188,79,70,122,158,15,222,346,320,235,51,261,84,18,3,194,26,847,352,17,527,90,118,757,26,10,118,13,317,"1,034",142,3,277,240,22,208
2018,All Donor Types,50-64 Years,"7,923",82,307,26,"1,005",106,112,6,109,564,189,12,359,82,79,43,55,129,11,185,253,233,198,36,158,62,4,9,157,16,670,201,11,351,66,65,463,31,31,74,17,157,590,63,5,195,153,23,170
2018,All Donor Types,65 +,"1,401",14,53,0,174,4,23,1,32,128,40,2,48,10,12,9,5,29,5,30,49,25,53,6,37,14,0,1,19,1,128,53,1,49,6,9,72,0,0,8,3,27,106,9,0,38,15,7,46
2018,All Donor Types,Unknown,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
